name,description,disease types,Modality
Wakefulness,"Wakefulness is a term describing the awareness level of an individual. It changes throughout the day, typically reducing at night, when a person is asleep, and increasing when a person is awake and engaged. In those living with Dementia with Lewy Bodies, the normal wakefulness cycle is significantly affected. This means measures of wakefulness can be used to detect the possibility of dementia development. Wakefulness is controlled by parts of the brain such as the locus coeruleus (LC). The LC is a nucleus which consists of many noradrenergic neurons. The main function of this nucleus is to supply the cerebrum, cerebellum, brain stem and spinal cord with noradrenaline (Counts and Mufson, 2013). This supply interacts with areas of the brain to affect the wakefulness-sleep state. 

For example, the LC innervates an area of the brainstem called the dorsal raphe (DR) nucleus. The DR is involved in the regulation of wakefulness-sleep state, specifically firing its neurons extensively during wakefulness. This affect is due to the excitatory signal from the LC neurons (Samuels and Szabadi, 2008). The LC is also involved in the promotion and inhibition of wakefulness through its interaction with the ventrolateral preoptic (VLPO) area. Within the hypothalamus. The VLPO, when active, inhibits the action of an area called the tuberomammillary nucleus (TMN), an area which sends histamine projections to the cerebral cortex promoting wakefulness. The LC supplies the VLPO with noradrenaline which binds to 2-adrenoreceptors, inhibiting VLPO neurons. This inhibition means the TMN can carry out its function resulting in a high wakefulness state. The VLPO is only seen to be highly active during slow wave and rapid eye movement sleep, when wakefulness is very low (Samuels and Szabadi, 2008). 

A high density of Lewy Bodies is normally found within the locus coeruleus of DLB patients. These affect the wakefulness-sleep state of the individual during the day and night which is shown through the presence of symptoms such as excessive daytime sleepiness and fluctuations in consciousness (Grace, Walker and McKeith, 2000).  

Another explanation for the abnormal changes seen in the wakefulness-sleep state of individuals with DLB could be due to damage of the SCN or its connections. The circadian rhythm is the central circadian pacemaker in the brain (Hastings, Maywood and Brancaccio, 2019), it is responsible for maintaining the sleep-wake cycle. The characteristics of wakefulness in DLB patients appears to be opposite to a cognitively normal person. This is shown by excessive tiredness in the day and insomnia. These symptoms could be due to the impairment of the SCN altering the circadian rhythm so that it is backwards. ",DLB,Sleep behaviour
RBD,"RBD is a parasomnia that involves the acting out of dreams during rapid eye movement (REM) sleep. This symptom is thought to be part of the prodromal stage of diseases such as DLB. The exact percentage of DLB patients which have RBD has been debated, with some studies saying it 40% whereas others have specified as high as 74%. Although there is a difference there is a consensus that the two disorders are related. There is also evidence which suggests that both RBD and DLB arise due to the same underlying synucleinopathy. One of the main features of RBD is the loss of muscle atonia. Muscle atonia is the inhibition of muscular activity, except middle ear muscles and the muscles that control eye movement. During normal REM sleep it is the responsibility of the sublateral dorsal/subcoerulus nucleus to stimulate a series of neurological events which result in the inhibition of the spinal motor neuron pool, causing REM sleep atonia. The failure in this system means that the individual can perform the abnormal behaviours seen in RBD. Although not noted it could be possible that the presence of Lewy bodies can prevent this system from functioning properly.

There have been specific links between neurological processes and DLB, for example the links with the LC, substantia nigra (SN), and the pedunculopontine nucleus (PPN). The neuronal loss seen in DLB occurs in the LC and SN, which alongside dysregulation of cholinergic neurons in the PPN is said to increase REM sleep drive and more importantly RBD (Chan et al., 2018). The SN is a dopaminergic nucleus found in the midbrain. It receives input from the PPN and projects to the putamen along the nigrostriatal pathway (Sonne and Beato, 2018). The putamen is an area of the brain involved in a complex feedback loop which aids in the movement of limbs (Healthline, 2015). The presence of Lewy bodies in these structures could affect the effectiveness of these pathways which could explain the abnormal movement in RBD. Overall, RBD is recommended as a good marker for early detection as previous studies have shown that between 38% and 65% of RBD patients go on to develop an alpha-synucleinopathy, such as DLB, 10-20 years after the individuals starts experiencing RBD (Chan et al., 2018).   ",AD,Sleep behaviour
Sundowning,"Sundowning is a phenomenon that occurs when the sun goes down and is characterised by increased agitation and worsening of neuropsychiatric symptoms. This behaviour has lots of evidentiary support for its link to AD (Grace, Walker and McKeith, 2000) however, it has also been seen to occur in patients with vascular dementia, frontotemporal dementia and DLB. Although this affect does not have a definite cause there is a large amount of evidence to suggest it occurs due to changes in the circadian rhythm. The circadian rhythm is regulated by an area of the brain called the suprachiasmatic nucleus (SCN) (Canevelli et al., 2016) The SCN controls the circadian rhythm by stimulating and supressing the release of key hormones. These hormones include melatonin and cortisol (National Sleep Foundation, 2018) which have been specifically observed to change in AD patients. Melatonin is released at night and aids in sleep. Its release is affected by exposure to light, which is seen by melatonin suppression during pupil dilation. This explains the release at night when the sun sets and light levels decrease (Society of endocrinology, 2018). Cortisol levels also change due to AD and it is hypothesised that this is due to dysregulation of the hypothalamic-pituitary-adrenal (HPA) axis which has been related to pathogenesis of sundowning (Canevelli et al., 2016). A hypothalamic region called the paraventricular nucleus (PVN) secretes a hormone called corticotropin-releasing hormone which interacts with the anterior pituitary, releasing adrenocorticotropic hormone (ACTH). ACTH acts on the adrenal cortex to release cortisol (Bradley Bush, ND, and Tori Hudson, 2016). The alteration of this axis could explain the significant increase in cortisol found in AD patients. The change in cortisol levels paired with the reduced melatonin levels in these patients could explain the abnormal behaviours seen in sundowning.","AD, DLB, FTD, VD",Sleep behaviour
Sleep apnoea,"Obstructive sleep apnoea (OSA) is a disorder defined by the stopping of breathing during the night due to periodic blocking of the airway. It has recently been strongly linked to AD due to the presence of the established AD biomarker tau protein. This link was made during a study which found that people presenting with OSA had 4.5% higher accumulation of tau protein in the area of the brain responsible for memory (Carvalho et al., 2019) A meta-analysis was also conducted in 2016 which analysed published clinical data linking sleep apnoea and AD. The analysis found that people with AD had a 5 times higher chance of having OSA. In addition to this they also stated that having OSA meant a person was more at risk of developing AD within the following decade. Finally, they also highlighted a study which found that in a community of 298 women those with OSA were more likely to be diagnosed by the next follow up in 5 years (Emamian et al., 2016) These elements show that sleep apnoea could be used as a good biomarker for dementia, specifically AD.","AD, VD",Sleep behaviour
Insomnia,"Vascular dementia has a similar sleep profile to other types of dementia, including presenting with OSA and having insomnia. However, the difference between vascular dementia and other dementia types is that patient with VD patients show signs of insomnia at a 1.5 to 2.5 higher frequency than AD and frontotemporal dementia patients. For vascular dementia specifically these sleep disturbances are linked to white matter hypersensitivity severity with most relating to daytime hypersomnolence (Cipriani et al., 2015).  

Frontotemporal dementia can be subdivided into behaviour variant FTD (bvFTD) and primary progressive aphasia (PPA). These two subtypes show differences during sleep. Patients with PPA are more likely to have disrupted sleep compared to bvFTD patients. Insomnia was found to be present in 48% of FTD patients but the cause has been disputed between studies. One study links the cause to phase delay and increased nocturnal motor activity, whilst others have concluded it is due to phase advanced rhythm (Harper et al., 2001; Anderson et al., 2009; McCarter, St. Louis and Boeve, 2016)These differences have been noted in comparison to AD which means that these subtypes of dementia can be distinguished. Imaging techniques have been used to investigate the causes and have found severe neuronal loss in the basal forebrain and the hippocampus. PSG studies have also found an elevated apnoea-hypopnea index in FTD patients compared to non-impaired individuals. Finally, it has also been suggested that orexin deficiency observed in impaired patients may contribute to fragmented sleep (McCarter, St. Louis and Boeve, 2016)","VD, AD, FTD",Sleep behaviour
Disorientation,"Disorientation in dementia is the word used to describe the mental confusion commonly experienced by patients. This confusion can be seen during the retrieval of information from an individual where instead of accurate and correct response they provide incorrect statements or facts. This symptom of cognitive impairment is prevalent within the AD population. Specifically, the elements affected are processes regarding time and location, meaning patients often do not know where they are or they cannot recall the time (Hirono et al., 1998; El Haj and Kapogiannis, 2016). This specificity is already tested for in most cognitive tests (see table _) and is done so through questioning the individual on where they are and what the time is (see table _). Although these phenomena are universally tested for the underlying clinical correlation has not yet been established. There have been a lot of investigations into this link, however a consensus has not yet been determined. For example, the impairments of time perception have been linked to many areas of the brain including the frontal cortex, basal ganglia, cerebellum and hippocampus. There are also many models to describe the functions of time perception which are said to be impaired in this symptom, one of these is the internal clock model (Fontes et al., 2016).  

Aside from these debated mechanisms there are strong links made between disorientation and memory. Episodic memory, the processing of past personal information (Fontes et al., 2016), loss has been linked to the loss of the ability to retrieve information about time. This decline of memory and abnormal disorientation has been linked to the hippocampus. Although memory impairment can indicate severe neurodegeneration, disorientation has been observed early in AD (El Haj and Kapogiannis, 2016). This suggest that disorientation could be a could biomarker for early detection as it may precede severe impairment to memory. The ability to observe disorientation without severe memory loss could be due to an area of the brain called the posterior cingulate gyrus. In a study by Hirono in 1998 it was found that there was hypometabolism of glucose in this region irrespective of memory impairment (Hirono et al., 1998). It has been found that this reduction of glucose metabolism occurs during the preclinical stages of AD (Mosconi, Pupi and De Leon, 2008) supporting the use of disorientation in early detection.  

Although it is stated that this occurs despite memory impairment the link between memory and disorientation is still important to note. This link is also supported by the structure of the posterior cingulate cortex, specifically its connections with other areas of the brain. The posterior cingulate cortex has many connections with the medial temporal memory system (Hirono et al., 1998). This system includes the hippocampus, which not only plays a role in declarative memory, comprising of episodic and semantic memory (Lingford-Hughes and Kalk, 2012), but it has also been specifically linked to time perception (El Haj and Kapogiannis, 2016). Although in the early stages impairments of the hippocampus might not be enough to explain the disorientation it could be due to the connections with the posterior cingulate cortex. It has been observed that in the early stage of AD that there is a decline in synaptic numbers compared to cognitively normal individuals. This was also found in patients with MCI; however, the difference was not as severe as in AD patients. These findings were also supported by MMSE scores showing that tis impairment can be seen detected by early cognitive test (Scheff et al., 2015). As the posterior cingulate cortex relates to the hippocampus the decrease in the synaptic connections may explain the disorientation symptom recorded by the cognitive tests.  

Overall, the evidence for the existence of disorientation and its potential clinical pathophysiology indicates its occurrence early in the onset of AD. This means that disorientation could be a positive marker for the potential onset of Alzheimer’s disease in the future.",AD,Cognition
Visuospatial impairment,"Visuospatial skills are one of the key abilities impaired by the pathology of dementia. These skills are defined by an individual’s capacity to comprehend visual and spatial relationships between distinct points or objects (NeuRA, 2019). The degeneration seen in dementia patients makes it hard to identify these relationships and instead they display deficits in visuospatial skills. This capability is routinely tested for in standard dementia tests (see table _). Some of the examples of the specific visuospatial tests include clock drawing and the copying of a figure, however there are many varieties of test used to assess this function (see table _). It has been found that this type of impairment is prevalent in both AD and DLB (Prvulovic et al., 2002; Beretta et al., 2019). However, the pathophysiology of this occurrence is said to differ between the dementia subtypes (Beretta et al., 2019). As well as this it has been suggested that this difference in pathophysiology also has a different impact on the cognitive state of the individual (Hamilton et al., 2008).  
 
Visuospatial difficulties in AD patients has been linked to problems with the superior parietal cortex. The superior parietal cortex has been said to have an important role in the performance of visuospatial functions (Corbetta et al., 1993; Wang et al., 2014), some papers even state that it is essential to these abilities (Prvulovic et al., 2002). The involvement of the superior parietal cortex in this function is supported by the evidence of impairment upon stimulation by visuospatial activities. For example, it has been found that this area of the brain is less active in AD patients compared to controls. This is said to be due to damage caused by AD pathology, presenting through a reduction in glucose metabolism, reduced blood flow and increased atrophy of gray and white matter in this region (Prvulovic et al., 2002). This damage coupled with its suggested role in visuospatial functioning supports the link to its affect in visuospatial tasks in AD patients.  
 
Problems performing visuospatial tasks is also a characteristic feature of DLB. This type of dementia has a different pathology to AD and so we see different areas of the brain affected. Some of these areas are thought to play a role in visuospatial performance. It has been recently shown that more severe visuospatial impairment is correlated with occipital hypometabolism in the lateral occipital cortex, calcarine cortex, fusiform and lingual gyri (Beretta et al., 2019). These areas of the brain have different specific functions however they are all related to elements that make up the definition of visuospatial function. For example, the lateral occipital cortex is important in object recognition (Grill-Spector, Kourtzi and Kanwisher, 2001) and the calcarine cortex is the primary visual cortex responsible for processing visual stimuli (Meadows, 2011). The damage to these areas seen through occipital hypometabolism can be used for early detection as this affect has been observed to occur in prodromal DLB (Kemp et al., 2017). As this affect is correlated with damage that is linked to deficits in visuospatial abilities it is possible to use cognitive testing to identify these deficits and predict the risk of developing DLB before severe damage to memory occurs.  
 
Visuospatial issues can also be detected in MCI patients and it has been found that those that have non-amnestic MCI are more likely to develop DLB and patients with amnestic MCI are more likely to be diagnosed with probable AD in the future (Ferman et al., 2013). This increases the support for visuospatial testing in early prediction of dementia. ","AD, DLB",Cognition
Executive function,"Executive functions are the result of processes within the brain which are responsible for inhibitory control, planning, cognitive flexibility and staying focused (Diamond, 2013; Kuzmickienė and Kaubrys, 2016). Like many of the other areas of cognition, executive function is already integrated into integrated dementia (see table _). The ability to perform executive functions is seen to be impaired in several dementia subtypes. These subtypes are AD, VaD, DLB and FTD- bvFTD and non-fluent PPA (nfvPPA) (Johns et al., 2009; McGuinness et al., 2010; Kuzmickienė and Kaubrys, 2016; Rabinovici, 2017).  

AD pathology has been linked to cause problems with executive function as one of the first signs in the course of disease progression. A study by Harrington in 2013 aimed to be able to predict preclinical AD and locate early pathology in the brain. From this they observed a decrease in cerebrospinal fluid beta amyloid42 alongside decreased performance of executive tasks. They supported with link by finding deposits of extracellular amyloid within the basal isocortex. Not only did they find this link, but they also found that the deposits of amyloid first occurred in this region of the brain (Harrington et al., 2013). This suggests that detecting impairment in executive function could mean identifying the pathology at the very early stages or that will lead to AD in the future.  

FTD also exhibits problems when testing with tasks of executive function. In particular, the FTD subtypes affected in this way are bvFTD and non-fluent PPA (Rabinovici, 2017). FTD is based on the theory that there is a decrease in fractional anisotropy in tracts that interconnect gray matter regions which undergo atrophy. This means that all the varieties of FTD types is due to which of the tracts is involved (Masdeu and Pascual, 2016). bvFTD has been closely correlated with the cingulum tract, particularly the anterior cingulum (Tartaglia et al., 2012). It has been noted that there is evidence for the involvement of this tract in executive functioning, specifically that the anterior cingulum characteristics might correlate with executive function (Bubb, Metzler-Baddeley and Aggleton, 2018). In addition to this is has been seen that, accounting for gray matter atrophy, a reduction in integrity of these specific white matter tracts may contribute to the decline in cognition, including executive function, seen in bvFTD patients (Masdeu and Pascual, 2016).  

As well as bvFTD, the other FTD subtypes presenting these difficulties is nfvPPA. Although this has been suggested it is still debated, with some studies not showing any difference between them and controls (Wicklund, Johnson and Weintraub, 2004; Harciarek and Cosentino, 2013). However, there is still evidence for its prevalence, when tested with the trail making test part B, at an even higher magnitude than shown in bvFTD patients (Harciarek and Cosentino, 2013).  

Another dementia subtype that experiences executive dysfunction is DLB (Kemp et al., 2017). In patients with DLB deficits in executive function are strongly related to the frontal region of the brain (Metzler-Baddeley, 2007; Firbank et al., 2016). Within the frontal region it is said to be specifically linked to impairment of the prefrontal cortex (Leh, Petrides and Strafella, 2010). The dorsolateral prefrontal cortex, the ventrolateral and the orbital prefrontal cortex have been said to be associated with the performance of executive functions, so impairment of this area would explain the problems observed (Metzler-Baddeley, 2007; Leh, Petrides and Strafella, 2010). In addition to this a recent study has made a link between urinary dysfunction and executive dysfunction through shared underlying pathology. They suggest that both executive functions early in the disease and urinary dysfunction are both due to issues with the prefrontal cortex, specifically its pathway with the basal ganglia (Haruta et al., 2019). Executive function has been linked to the activation of the basal ganglia (Leh, Petrides and Strafella, 2010). The observation of this shared underlying pathology and its involvement in DLB supports the use of executive function coupled with urinary dysfunction as a good indicator or predictor of early DLB (Haruta et al., 2019). Finally, executive function has also been used to differentiate between FTD and DLB by test performance, specifically using the Stroop test (Johns et al., 2009). This allows for the specific dementia subtype to be predicted.  

Lastly, VaD has also been seen to have deficits in executive functioning (McGuinness et al., 2010; Sudo et al., 2017). These appear early in the disease and have been linked to impairment of cognitive flexibility and inhibitory control (Sudo et al., 2017). Cognitive flexibility has been linked to the performance of the basal ganglia, anterior cingulate cortex, and the prefrontal cortex (Leber, Turk-Browne and Chun, 2008). There have been studies into the role of the prefrontal cortex in flexibility, specifically switching tasks, which have found involvement of the anterior prefrontal cortex and the mid-prefrontal regions (Kim et al., 2011). There have also been findings into the association of the basal ganglia and cognitive flexibility, indicating that damage to this area is involved in flexibility impairment. The basal ganglia have also been seen to be affected in VaD, specifically subcortical VaD, by the presence of multiple microinfarcts in this area (Kalaria and Erkinjuntti, 2006). This damage could cause the deficits in executive function.","AD, FTD, bvFTD, nfvPPA, VaD, DLB",Cognition
Attention,"Attention is the ability to concentrate and switch between stimuli without disorientation or uncontrolled loss of interest. It is one of the areas already assessed during dementia testing (see table _). It has been noted to be impaired in DLB and AD (Ballard et al., 2001). 

DLB patients are diagnosed due to several factors, some symptomatic and others pathological. One pathological factor is the excess of glutamate. The build-up of glutamate is a characteristic feature of DLB and leads to neurodegeneration over time (Ho et al., 2019). One of the medications used to stop the effects of excess glutamate is called memantine (NHS, 2016). Memantine has been used on DLB patients from which their attention impairment has improved (Wesnes et al., 2015). This suggests that attention dysfunction occurs because of excess glutamate. As too much glutamate can lead to neurodegeneration being able to identify signs of its prevalence early is important, which may be possible through tests of attention.  

AD patients have also been seen to have difficulties in tasks requiring attention, specifically spatial attention, early in the course of the disease (Perry and Hodges, 1999; Rizzo et al., 2000; Saunders and Summers, 2011). MCI has been said to be the preceding stage before development of AD and so features present during MCI may be good predictors for development of AD. For example, a study by Saunders in 2011 found that decline in sustained attention in amnestic MCI and non-amnestic MCI may be an early predictor for dementia development. They also distinguished an early indicator for amnestic MCI, the decline in divided attention abilities (Saunders and Summers, 2011). Deficits in spatial attention have also been linked to AD. This impairment is hypothesised to occur due to damage of the Posner model, a network within the brain controlled by three distinct areas, the posterior parietal lobe, superior colliculus and the thalamus (Posner and Petersen, 1990; Perry and Hodges, 1999). This model could explain the impairment seen, as damage to these three areas are found in AD patients. For example, senile plaques have been observed in the superior colliculus of people suffering from AD (Iseki et al., 1989). These deficits in attention can be seen through cognitive testing and so may be promising in early detection of AD. ","DLB, AD",Cognition
Pace,"A reduced pace and increased gait variability have been linked to impairment of attention and executive functioning while temporal gait impairment is linked with memory impairment (Ries et al., 2009).

A structured review by McArdle R et al., 2017 looks at gait impairment in subtypes of dementia with the following observations for AD patients. AD patients tend to have reduced pace when compared to controls which the degree increasing with severity of disease.

For gait impairment in Lewy body dementia (LBD) patients, pace is generally found to be reduced in subjects with LBD in comparison to controls.

For gait impairments in VaD (Tanaka et al., 1995), characteristics of pace are found to be reduced in VaD when compared to controls. Characteristics of postural control were not found to be reduced in VaD. ","AD, DLB",Gait
