name,manufacturer,url,short_description,description,passive,portable,wearing_position,open_source,sdk_api,raw_data_access,minimum_cost_gbp,maximum_cost_gbp,availability,clinical_validation,medical_approval,self_administer,compatibility
Discovery,Mindstrong,https://mindstronghealth.com/,app,"Discovery, by Mindstrong, is an app which measures a person’s cognitive health by analysing the way a person types, taps and scrolls whilst they use other apps. The data is stored so that it can only be accessed by the patient and the patient’s doctor. This type of app could be applied to detecting dementia as it could focus on the speed of tapping and patterns in scrolling which could estimate a risk of cognitive impairment. A problem with this app is that people might feel as though their privacy is being invaded. The app has access to typing patterns, meaning people could be worried that important things they type could be stolen. This concern is addressed by the company and they ensure this would not occur. Integration of this type of app would have to come with a very clear data and privacy policy that the patients could easily understand. Now the app is only available to participating partners.",Passive,portable,Non-wearable,FALSE,FALSE,FALSE,0,0,0.5,0.5,0,0.5,1
Mezurio,University of Oxford,https://mezur.io/,app,"Mezurio is a smartphone app used as part of GameChanger. GameChanger is a nationwide project investigating cognition, with the purpose of creating a baseline for future research into dementia. The application has a variety of tasks used to measure cognition, some of these require speech. This device is currently only accessible to participants of the study and requires an invite code to use. The app has undergone clinical validation, specifically related to use in detecting early impairment linked to Alzheimer’s disease (Lancaster et al., 2019). Overall this app is promising and could be good to use in early detection of dementia.",Active,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,0.5,0,0,0.5,1
Dreem headband ,Dreem,https://dreem.com/en,wearable ,"Dreem is a company which have developed head wearables capable of collecting in depth information about sleep. Like most sleep measuring wearables, the Dreem headband can detect movement through an accelerometer, and heartrate through pulse oximetry. However, this device is unique in its ability to record EEGs. There are other devices like this which have been developed however, this company specifically strive towards integration of this technology into research and eventually healthcare. This device is user friendly with its app designed to help an individual track their sleep over time. It is also useful to research and clinicians through an associated software known as Dreem Viewer. Dreem Viewer is an interface which data from patients is exported to and can only be accessed by researchers and clinicians. This private system helps to enhance treatment and separates any diagnostic data from the patients, preventing misunderstanding. There are two versions of this device, first generation Dreem and Dreem 2. These devices retail at £289 and £359 respectively. This device has been validated in clinical trials with one study finding that the data collected was in agreement with that collected by gold standard PSG (Arnal, 2019). Overall, although expensive this device is proposed as an excellent alternative for PSG which can analyse not only sleep as a modality but also HRV and EEG. The device is also accessible to the public and can be easily administered at home with simple links to researchers and clinicians",Passive,portable,Head,FALSE,FALSE,TRUE,289,359,1,0.5,0,1,
Muse 2,InteraXon Inc.,https://choosemuse.com/,EEG,"EEG headband designed for personal use. It is designed to monitor neural activity
during meditation coupled with an app which translates how focused
the user is into ambient weather sounds to guide their meditation. They
offer Muse which is a Bluetooth EEG with app and Muse 2 which also has
a PPG (photoplethysmography) and Pulse Oximetry to
measure heart rate and blood flow, an accelerometer to measure posture and a
gyroscope to measure breathing. 

They also offer a platform for researchers. Muse has been used to monitor population
dynamics on over 6000 subjects who had opted in to being used in
research when purchasing the device. This reviled a shift from lower to higher
frequencies with age and slowing of frequency with age (Hashemi et al., 2016). It has also been
found to be sensitive enough to distinguish cognitive states, despite its lower
resolution compared to research and clinical standard EEGs (Bashivan, Rish, & Heisig, 2019). For
this reason, it has potential for use in large scale studies.

",Passive,portable,Head,FALSE,FALSE,TRUE,239,239,1,0.5,0,1,1
Vokaturi,Vokaturi ,https://vokaturi.com/,App,"Vokaturi is an emotion recognition software that works by analysing speech. It comes in three forms, OpenVokaturi, VokaturiPlus and VokaturiPro. OpenVokaturi is a free open source version of this software. This license provides access to analysis of basic emotions and can be used for testing purposes. The VokaturiPlus and VokaturiPro are paid for licenses and provide a more accurate and extensive service. Vokaturi softwares have been used in several studies which have investigated emotions. Specifically, Vokaturi was used to detect agitation in dementia patients. This study was able to detect level of agitation from wearable devices and mobile application, which included Vokaturi, however, the accuracy of this data was unknown (Fowler et al, 2017). If used for early detection of dementia this software would need to be validated as accurate for detecting not only agitation but also the other emotions associated with dementia.",Active,portable,Non-wearable,TRUE,FALSE,TRUE,0,0,1,,,0.5,
Emovoice,Hcmlab,https://github.com/hcmlab/emovoice,Online software ,"Emovoice is an emotion detection software which can recognise emotions in real time. The recognition of these emotions is based on acoustic properties and doesn’t require information about the words spoken. This software is open source and free to download. The technology works by creating a model and training it to detect certain emotions. This gives freedom to researchers as they can customise the software specifically for their project. This feature means that it could be tailored to emotions linked to dementia. An issue with this software is that it is complex and time consuming. It also requires clinical validation for its accuracy in detecting emotions, specifically those related to dementia.",Active,portable,Non-wearable,TRUE,FALSE,TRUE,0,0,1,,,0.5,
Tobii Pro Glasses 2,Tobii,https://www.tobiipro.com/product-listing/tobii-pro-glasses-2/,eye movement tracking glasses,"Eye tracking glasses fitted with HD wide angle viewpoint camera, microphone, gyroscope and accelerometer, 2 eye facing cameras per eye. Lenses can be removed completely or replaced with prescription lenses. Head unit (glasses) connect to a belt clipped recording unit via an HDML cable. There is also a Controller which is designed for Windows 8 tablet or Windows 7, 8, or 10 computers. Glasses use a 3D eye model to detect and compensate for slippage",Passive,portable,Face,FALSE,FALSE,TRUE,"8,061.70","24,185.10",0.5,0,0,0.5,
Apple Watch Series 4,Apple,https://support.apple.com/en-gb/HT204666#sensors,smart watch,,Passive,portable,Wrist,FALSE,FALSE,TRUE,399,399,1,0.5,1,1,0.5
Synesketch,Uros Kradinac ,http://krcadinac.com/synesketch/,Web application ,"This software is free and open source and determines emotion through textual analysis. The emotions detected are based off Ekmans basic emotions and are presented with their associated weight and valence. Upon analysis the emotional recognition algorithm was found to be highly accurate and was said to be promising for future research (Krcadinac et al., 2013). As this is open source this means it could be easily tailored for use in dementia studies and ultimately early detection.",Active,static,Non-wearable,TRUE,FALSE,TRUE,0,0,1,0,0,0.5,
Pillow automatic sleep tracker ,Neybox digital Ltd,https://apps.apple.com/gb/app/pillow-automatic-sleep-tracker/id878691772,app,"Pillow automatic sleep tracker is an app developed by Neybox. This app can be used in two ways, with or without an apple watch. The use of an apple watch makes the app automatic, simplifying its use. Without having an apple watch the iPhone or iPad must be placed on the mattress during sleep and manual control is also required. This app allows an individual to track their sleep and their personal information can be transferred to different devices using the iCloud. The app also collects audio recording potentially allowing detection of sleep disturbances such as sleep apnoea. Although advertised as free, the app requires payment for access to features which may be useful for early detection of dementia. These premium features include unlimited sleep history, sleep trends, sound recordings and heart rate analysis. These additional features can be enabled on a subscription basis which can be purchased monthly, every 3 months and yearly. These are priced at £4.49, £8.99 and £26.99 respectively. Overall this app has the potential to be used in early detection of dementia, however, premium features would probably be required and use of an apple watch would increase accuracy of the data.",Passive,portable,Non-wearable,FALSE,FALSE,TRUE,0,0,1,0,0,1,
